Terms                                 ,Genes ,ZIPF_Score ,Articles ,Freq_Term ,Publications
phospholipid                          ,    7 ,      2.19 ,       7 ,       14 ,"32796722,28468944,17893145,18973346,31337710,33569461,20919932"
meiotic                               ,    4 ,      2.1  ,       6 ,       14 ,"33758202,23781026,18927152,35455958,7922339,15003625"
escs                                  ,    3 ,      1.8  ,       4 ,       14 ,"22927069,31021473,26289635,28487382"
ryr                                   ,    1 ,      1.33 ,       5 ,       14 ,"20095964,35053257,32053184,22404946,33871019"
sk2                                   ,    1 ,      1.18 ,       2 ,       14 ,"31904168,26880549"
dog                                   ,    2 ,      5.1  ,       2 ,       14 ,"34231238,21871553"
fission                               ,    4 ,      3.11 ,       6 ,       14 ,"34384932,16823372,18065650,20356456,24316080,32817651"
virulent                              ,    3 ,      2.88 ,       6 ,       14 ,"31391270,35164288,31671511,29176891,18633122,34976870"
delta-aminolevulinate                 ,    1 ,      0.0  ,       7 ,       14 ,"3182776,2915978,8407861,10577279,1570328,1577484,17936691"
lzip                                  ,    1 ,      0.0  ,       5 ,       14 ,"10629049,10984507,12235138,14532282,9389645"
discoideum                            ,    2 ,      1.28 ,       5 ,       14 ,"17560550,21667333,15470253,18990192,2540042"
vivax                                 ,    1 ,      2.08 ,       1 ,       14 ,25545414
leishmania                            ,    3 ,      1.92 ,       6 ,       14 ,"29176891,24699271,32295617,32628683,29554571,33044977"
trophozoite                           ,    2 ,      1.17 ,       6 ,       14 ,"33513391,34486252,27228164,29228011,33592076,33553005"
slis                                  ,    1 ,      1.14 ,       3 ,       14 ,"30357511,23306908,35445918"
prmt1                                 ,    2 ,      0.0  ,       3 ,       14 ,"18636753,10749851,32420127"
prx-iv                                ,    0 ,      1.57 ,       1 ,       14 ,11229364
prxiii                                ,    1 ,      0.0  ,       2 ,       14 ,"17707404,25906064"
eif5a-1                               ,    1 ,      0.0  ,       5 ,       14 ,"15262146,17213197,18067580,14622290,16519677"
dhps                                  ,    1 ,      1.01 ,       2 ,       14 ,"34273022,34947982"
haploinsufficiency                    ,    5 ,      1.06 ,       9 ,       13 ,"11841538,22781308,9887343,31969185,31845906,25954033,24188528,33276377,35075790"
endemic                               ,    5 ,      3.37 ,       9 ,       13 ,"29034528,30479852,29702669,32295617,30068910,28972996,32185676,29117212,29955171"
gap                                   ,    8 ,      4.47 ,      11 ,       13 ,"29034528,26403541,29959233,7898305,27097562,12226107,32796722,35203426,31133884,26289635,32435206"
lymphocyte                            ,    6 ,      2.48 ,      12 ,       13 ,"29034528,11555662,21636789,30890743,8355702,28436273,2351831,3500230,23796494,20807727,15262146,3119589"
mucosa                                ,    6 ,      2.67 ,       7 ,       13 ,"30479852,28077931,22968445,31886120,23807296,25741220,28068390"
cx43                                  ,    2 ,      0.0  ,       3 ,       13 ,"26403541,29959233,22669741"
frog                                  ,    5 ,      3.89 ,       6 ,       13 ,"30935896,24056062,17597530,15489334,29026428,12773398"
complicate                            ,   10 ,      3.26 ,      13 ,       13 ,"33072792,9878551,19487983,31986467,28988713,27941623,19864425,29954941,22783226,33597172,35445918,29036266,15539428"
autoimmune                            ,    9 ,      3.17 ,      11 ,       13 ,"32325910,24312579,29849043,30890743,23200852,28712728,27292648,31080378,10430027,10574923,20807727"
immunodeficiency                      ,    6 ,      2.71 ,      11 ,       13 ,"32325910,15220430,17289077,10329125,10364329,10913173,12944466,19432400,26891316,8253832,8660923"
microenvironment                      ,    7 ,      2.18 ,       9 ,       13 ,"31425889,29967323,26191006,31355153,31133884,33349268,26300302,19917609,18575609"
sulfate                               ,    8 ,      3.19 ,      10 ,       13 ,"31425889,33143303,26801685,18973346,11375989,26129968,29342075,32111039,10731722,17031636"
collagen                              ,    7 ,      3.25 ,       7 ,       13 ,"31425889,33916053,33153214,23236463,30988666,24188528,32493433"
pathophysiological                    ,   12 ,      1.95 ,      13 ,       13 ,"22152112,31986467,31576248,34324523,25326457,34944635,34384932,32070771,27646125,32916630,34938367,30655626,23263864"
presynaptic                           ,    5 ,      2.15 ,       8 ,       13 ,"34357055,20510931,21609829,30890756,34416235,33871019,34040028,21969592"
sba                                   ,    1 ,      2.85 ,       1 ,       13 ,29462933
cns                                   ,    8 ,      3.03 ,       9 ,       13 ,"35563075,19141675,30459560,32331968,17190607,33083141,35445918,21562855,21526488"
pressure                              ,    6 ,      5.01 ,      12 ,       13 ,"12644575,24386424,33403290,33679438,32873862,33752971,11303049,22293958,34238312,30655626,2895105,10611289"
pedigree                              ,    3 ,      3.35 ,       7 ,       13 ,"15265369,1928099,24417559,34311469,35417297,10577279,9858242"
dehydrogenases                        ,    3 ,      1.49 ,      11 ,       13 ,"1959619,19141675,20563989,17473173,26391396,18502750,25627686,12226107,19458327,26394147,26934888"
noncoding                             ,    9 ,      1.93 ,      13 ,       13 ,"7219534,18385377,32239379,30535431,22416126,22966205,31943339,29157910,20673990,25418729,34491544,32196615,18248177"
hydrogenase                           ,    2 ,      1.77 ,       6 ,       13 ,"11054105,12792025,15168611,16645307,20395274,1900194"
microorganism                         ,    5 ,      2.32 ,      13 ,       13 ,"12792025,15119826,15168611,16645307,35600141,32575356,23666536,29375488,31732577,25555378,22288420,32708393,31018578"
precede                               ,   10 ,      2.86 ,      13 ,       13 ,"28139165,18056716,19956613,16341127,26991250,23749380,31403401,35886053,22987813,24204595,17409354,9888818,27573699"
biofilm                               ,    4 ,      2.47 ,       4 ,       13 ,"35605315,30143697,26195524,31015652"
seedling                              ,    3 ,      2.75 ,      12 ,       13 ,"35605315,28877183,30340410,25202477,32512821,35817801,28513600,10487217,33255918,29879216,33271965,30654474"
rps1-k                                ,    1 ,      0.0  ,       1 ,       13 ,18366691
bird                                  ,    6 ,      4.63 ,       9 ,       13 ,"33403290,33045004,33208942,32269123,32116744,2158525,35782537,29238562,33610896"
aspergillosis                         ,    5 ,      1.84 ,       8 ,       13 ,"33403290,30005605,20074381,25141105,33597172,32817453,21825280,29202712"
casup2sup                             ,    5 ,      0.0  ,       7 ,       13 ,"31986467,32873862,28468944,30858501,28393127,31904168,29804005"
vesicular                             ,    9 ,      2.11 ,      11 ,       13 ,"18614564,15060138,20844742,30733281,34135859,27053151,18575609,32708393,21123651,34110282,34976870"
dissociation                          ,    8 ,      2.84 ,      12 ,       13 ,"33679438,32286661,10858305,19883659,16924592,23718750,24920668,33517344,10731722,21916849,17707404,21173025"
wheat                                 ,    3 ,      4.01 ,       6 ,       13 ,"28877183,34549988,9452424,31031728,27098988,25663750"
metazoan                              ,    8 ,      1.68 ,      12 ,       13 ,"19131329,12620122,24463511,22966205,23308156,28934368,32029631,18621711,9389645,25318674,19064914,35811673"
canal                                 ,    6 ,      4.22 ,       6 ,       13 ,"16510503,15672396,24503594,15649459,14579377,24732964"
exosomes                              ,    6 ,      1.85 ,       5 ,       13 ,"35474406,32796722,31355153,32545553,32476322"
spatially                             ,    9 ,      2.75 ,      11 ,       13 ,"19414065,17670791,12895028,16420440,15649459,19224982,19253283,23718750,16033648,16600425,21151342"
sox2                                  ,    4 ,      1.53 ,       7 ,       13 ,"20396904,23145006,32631829,18385377,26581954,31021473,27306458"
rna-seq                               ,    8 ,      2.99 ,      10 ,       13 ,"33386644,25005894,29246798,23308156,28257485,30189641,35455958,32636874,25240600,29202712"
pluripotency                          ,    4 ,      1.82 ,       6 ,       13 ,"33999993,26581954,31021473,18585351,26289635,28487382"
crx                                   ,    1 ,      1.85 ,       5 ,       13 ,"31968244,12588845,15347652,24056062,32631829"
transplantation                       ,    9 ,      3.23 ,       9 ,       13 ,"10940620,28988713,29967323,32796906,27203244,30384889,15557202,33260872,25141105"
lusc                                  ,    1 ,      0.0  ,       1 ,       13 ,34306176
prl                                   ,    4 ,      2.24 ,       4 ,       13 ,"32277752,11162633,12960062,21507896"
dysregulated                          ,   10 ,      1.6  ,      13 ,       13 ,"30551440,29246798,31938151,31355153,22757692,31938350,32742246,31635106,32543048,35268596,28487382,25793542,32420127"
caspase-3                             ,    5 ,      2.32 ,       7 ,       13 ,"31646562,20015864,18439902,16499868,27666310,32077747,29724888"
appendage                             ,    4 ,      2.76 ,       5 ,       13 ,"24858471,21116826,27804976,25479903,15262146"
hsp70                                 ,    8 ,      0.05 ,       9 ,       13 ,"17239227,18439902,21734034,17239655,16449382,19114004,32817453,33688012,31906144"
hox                                   ,    2 ,      2.07 ,       3 ,       13 ,"12620122,15199122,15960975"
deplete                               ,    7 ,      2.65 ,      12 ,       13 ,"18180367,22966205,25736597,30375416,26240280,35614067,25965334,12080185,18990192,24316080,22730406,18325611"
abundantly                            ,    9 ,      3.11 ,      12 ,       13 ,"12807913,15060138,19364821,26305884,17893145,11535622,10949023,32545553,31886120,31723020,28036352,11229364"
carboxy-terminal                      ,    4 ,      2.03 ,      12 ,       13 ,"15060138,24463511,9096311,11713533,9499409,12944466,9832504,17452463,10391242,10949023,19188440,7590226"
elisa                                 ,    7 ,      3.09 ,      12 ,       13 ,"31938151,31486991,31583475,33760186,29547667,26818658,33349268,28179017,34306096,33569461,33269646,30654474"
mecp2                                 ,    1 ,      1.57 ,       2 ,       13 ,"33726573,23200852"
microarrays                           ,    7 ,      2.07 ,      12 ,       13 ,"19480240,34324523,32098961,12944371,16528249,20003521,11932413,22279524,15470253,26689807,19025623,17997606"
androgen                              ,    5 ,      2.77 ,       5 ,       13 ,"31486991,16641145,33050986,17909037,16189181"
lrp56                                 ,    2 ,      0.0  ,       3 ,       13 ,"26158506,20059949,27821587"
retinoid                              ,    3 ,      2.01 ,      10 ,       13 ,"20563989,17473173,18502750,19102727,12226107,19458327,11259580,30459560,2169566,9111344"
translocase                           ,    3 ,      1.15 ,       8 ,       13 ,"9409622,12692531,27265872,23263864,15722347,17098851,22730406,12692332"
fto                                   ,    2 ,      2.13 ,       2 ,       13 ,"31981477,28555196"
yb-1                                  ,    1 ,      2.52 ,       1 ,       13 ,22118625
oxide                                 ,    9 ,      3.66 ,      11 ,       13 ,"20536739,35892672,31635106,29453425,29495482,28765283,32493433,31536826,28391163,29036266,20807727"
progesterone                          ,    5 ,      3.01 ,       8 ,       13 ,"22669741,26783066,33758202,25736597,20883646,9590696,15539428,20678994"
cdk4                                  ,    2 ,      1.53 ,       4 ,       13 ,"12037670,33039146,28381877,33885378"
t2a                                   ,    1 ,      1.11 ,       6 ,       13 ,"12037670,23060074,9499409,16331689,10329126,12065898"
hic                                   ,    1 ,      2.56 ,       2 ,       13 ,"17289077,12944466"
ccnyl1                                ,    1 ,      0.0  ,       2 ,       13 ,"27203244,26305884"
protozoan                             ,    4 ,      2.1  ,       9 ,       13 ,"25188325,35164288,33513391,34486252,28972996,29228011,29554571,33592076,33553005"
greatwall                             ,    1 ,      0.0  ,       8 ,       13 ,"21164013,21164014,33758202,28613156,23781026,30626720,24618897,21852956"
endos                                 ,    1 ,      1.17 ,       3 ,       13 ,"24618897,21852956,18927152"
crosstalk                             ,    6 ,      2.37 ,      11 ,       13 ,"11906164,31904168,14559359,16809425,17904530,18575609,21285374,19627569,30815000,34110282,21151342"
hydrolysis                            ,    3 ,      2.86 ,       6 ,       13 ,"23009842,7876104,8257427,10428815,17446867,14586471"
schizosaccharomyces                   ,    4 ,      1.34 ,      13 ,       13 ,"16823372,26912367,10449419,11884590,28555368,11452028,11795888,15956211,20356456,15225554,15824112,17409354,23716598"
perrault                              ,    1 ,      2.18 ,       4 ,       13 ,"31449985,31827252,33228777,21464306"
scavenge                              ,    5 ,      2.51 ,      13 ,       13 ,"19114004,21498770,22783226,10731722,28391978,32185676,29427714,27393003,24316080,17409354,22834699,19025623,33271965"
dithiothreitol                        ,    3 ,      1.23 ,      13 ,       13 ,"17936691,23001565,12543933,22802721,19360125,12161445,17974571,11677042,19462976,12519079,19932185,18990192,12529539"
symbiosis                             ,    3 ,      2.71 ,       5 ,       13 ,"31134003,15060047,19627569,31018578,23267362"
irr                                   ,    1 ,      2.35 ,       2 ,       13 ,"16573691,21602352"
legume                                ,    3 ,      2.59 ,       6 ,       13 ,"15060047,26503705,31018578,23267362,31133003,19575787"
hcf-binding                           ,    1 ,      1.83 ,       8 ,       13 ,"10629049,10871379,10984507,12235138,14532282,19188440,9389645,26522729"
npc                                   ,    2 ,      3.13 ,       2 ,       13 ,"32522152,24204595"
histolytica                           ,    3 ,      1.51 ,       6 ,       13 ,"8422275,27239333,34486252,27228164,8496166,33592076"
sty1                                  ,    2 ,      0.0  ,       4 ,       13 ,"18065650,15956211,15225554,15824112"
zip14                                 ,    2 ,      0.0  ,       1 ,       13 ,31197210
thioredoxin-dependent                 ,    1 ,      1.67 ,      11 ,       13 ,"10025941,10731722,20381631,20144717,10998352,17707404,20807727,23124252,20356456,11784321,9888818"
hydroperoxide                         ,    1 ,      1.51 ,      10 ,       13 ,"21212070,20381631,20211754,22450240,18226547,12080185,8089078,29554571,8344960,12084836"
stim1                                 ,    1 ,      0.0  ,       1 ,       13 ,29804005
oxidant                               ,    1 ,      2.48 ,      11 ,       13 ,"17329258,12080185,20919932,20649472,15956211,17409354,10681558,15210711,7961686,14630923,11741925"
eif-4d                                ,    1 ,      1.97 ,       7 ,       13 ,"2492279,3095320,1556119,1903841,8307948,8314769,2540042"
gattii                                ,    1 ,      0.0  ,       2 ,       13 ,"31015652,25119981"
nrs                                   ,    2 ,      2.56 ,       5 ,       13 ,"34955646,10704837,8670870,9430642,17997606"
keratin                               ,    3 ,      2.58 ,       6 ,       12 ,"11063735,11841538,12802069,19754951,29901112,29745813"
keratinocytes                         ,    5 ,      2.08 ,       7 ,       12 ,"11063735,29246798,33916053,29925238,8107114,19195412,15262146"
immunohistochemical                   ,    8 ,      2.11 ,      11 ,       12 ,"21062920,23116197,22986828,7937870,10913355,14749213,27666310,28179017,24027268,22206011,21850687"
colocalized                           ,    6 ,      0.0  ,      10 ,       12 ,"29034528,10913355,9651361,10593949,10623756,23629655,22025680,20873783,34976870,16189181"
polyclonal                            ,    6 ,      2.08 ,      11 ,       12 ,"29034528,30479852,22152112,11430900,15505029,24704991,1383159,15262146,8660923,17707773,33553005"
hydrophilic                           ,    5 ,      2.51 ,      12 ,       12 ,"17060615,1928099,2018041,15168611,11454754,9096311,32860793,10852722,9651361,3095320,27379139,12709428"
rrna                                  ,    4 ,      2.5  ,       9 ,       12 ,"8104867,1996112,16107839,14976550,26240280,23315540,28892042,29202712,32669547"
dopaminergic                          ,    7 ,      2.33 ,       8 ,       12 ,"12111463,16135753,35644505,33963285,29525604,19144721,19432400,26823915"
hematopoietic                         ,    4 ,      2.52 ,       7 ,       12 ,"1712754,2915977,7876104,16677835,29439554,20015225,25418729"
glycolytic                            ,    8 ,      1.92 ,      10 ,       12 ,"12792025,26298201,25096996,32873862,31133884,32804944,12782322,33610896,33513391,20496099"
blx                                   ,    1 ,      1.22 ,       1 ,       12 ,29580769
endosperm                             ,    4 ,      1.97 ,       6 ,       12 ,"29580769,28981788,26395408,32243451,24616729,29342075"
reproduction                          ,    8 ,      3.79 ,      11 ,       12 ,"21695218,19754951,26512061,33905521,33140506,17873332,18097506,18973667,27098988,33553005,20678994"
teleost                               ,    5 ,      1.71 ,       8 ,       12 ,"21695218,19754951,28479339,24858471,23747543,26394147,34207643,32636874"
trout                                 ,    4 ,      3.78 ,       5 ,       12 ,"25853266,19014685,34207643,23308156,17555569"
fractionation                         ,    7 ,      2.37 ,      10 ,       12 ,"33403290,33916053,24710523,2369125,11574479,12543933,29342075,25929241,8089078,8660923"
ablation                              ,    6 ,      2.77 ,      10 ,       12 ,"30197913,21270050,17239227,29246798,30626720,30305605,35809345,19766572,19039140,24529706"
abiotic                               ,    4 ,      2.37 ,       9 ,       12 ,"30340410,32039234,26503705,23267362,31133003,35817801,22313238,31015652,22834699"
segregate                             ,    6 ,      2.67 ,      11 ,       12 ,"28981788,25293953,25281935,22564795,34324523,32333447,26072516,28302723,33097698,2508059,28685837"
virion                                ,    3 ,      2.18 ,       5 ,       12 ,"15220430,10871379,15705566,9271389,27257648"
dissociate                            ,    8 ,      2.46 ,      11 ,       12 ,"18695251,19102727,11259580,11514619,30655546,10852722,25240868,27235438,18984161,18627462,21123651"
mitf                                  ,    2 ,      1.28 ,       3 ,       12 ,"23159739,23139843,27097562"
non-canonical                         ,    8 ,      3.32 ,       9 ,       12 ,"24312579,26685160,27287801,29186753,32906706,22059956,32295617,25640076,34947982"
depression                            ,    4 ,      4.56 ,       5 ,       12 ,"28293639,31191638,26934888,31888678,15680912"
striatal                              ,    4 ,      1.95 ,       7 ,       12 ,"28433741,22986828,2845422,2158525,11279279,28613156,27761515"
circrna                               ,    4 ,      0.0  ,       4 ,       12 ,"35474406,33476259,33174841,28625552"
hairpin                               ,   12 ,      2.78 ,      12 ,       12 ,"35474406,32239379,25096996,19883659,27666310,21339484,23009842,20087844,35911972,32296580,25318674,15254228"
dystrophy                             ,    3 ,      2.83 ,       5 ,       12 ,"19956411,25293953,24026677,32916630,27634466"
lca                                   ,    2 ,      2.47 ,       2 ,       12 ,"19956411,33356743"
deregulate                            ,   11 ,      2.21 ,      12 ,       12 ,"33999993,31823891,33476259,32332923,31408947,20047682,33174841,24140707,33794982,18271751,34947982,24529706"
transgene                             ,    6 ,      1.99 ,       7 ,       12 ,"15347652,19956613,21723936,18524908,26486652,16600425,16148126"
untranslated                          ,    6 ,      2.24 ,      12 ,       12 ,"16903786,26332462,14596915,28356383,2095458,29375488,19170760,8422275,22059956,14731398,7744952,25965334"
morphants                             ,    5 ,      0.0  ,       6 ,       12 ,"23139843,25999792,23806211,24732964,28231391,18295965"
atxn1                                 ,    1 ,      0.0  ,       1 ,       12 ,31655597
cone                                  ,    4 ,      3.83 ,       5 ,       12 ,"23867227,12226107,26991250,28900183,23008267"
placodes                              ,    2 ,      0.0  ,       5 ,       12 ,"22564795,22318231,11172008,19007769,15581883"
perturb                               ,    9 ,      1.9  ,      11 ,       12 ,"25999792,21086490,17239227,11729309,26394147,17537995,30626720,31819004,35902094,35809345,31740833"
orthologous                           ,    7 ,      1.56 ,      11 ,       12 ,"17597530,21723936,25954033,28479339,35886053,21464306,27257648,27303729,17890166,17098851,15562318"
mdm2                                  ,    2 ,      1.6  ,       2 ,       12 ,"35220830,22825850"
tdo                                   ,    1 ,      1.74 ,       5 ,       12 ,"27760456,26836061,15666299,9467018,25815730"
stably                                ,    7 ,      2.18 ,      12 ,       12 ,"26836061,15146458,25116916,12065898,21464306,14532282,15960975,30224358,26121143,12080185,20807727,9590696"
leydig                                ,    5 ,      1.68 ,       7 ,       12 ,"26512061,17873332,18097506,20015225,30450874,11904290,27082744"
uterine                               ,    5 ,      3.02 ,       7 ,       12 ,"26512061,31638262,35909540,12063187,22669741,32842715,34073234"
müllerian                             ,    1 ,      1.57 ,       2 ,       12 ,"26512061,35909540"
remodelling                           ,    5 ,      2.57 ,       7 ,       12 ,"26512061,32873862,29967323,32053184,32494006,19025623,9590696"
endocardial                           ,    3 ,      1.37 ,       3 ,       12 ,"24503594,15649459,24732964"
nucleocytoplasmic                     ,    6 ,      1.15 ,      11 ,       12 ,"17178712,11729309,32034402,22825850,16162498,28302723,17187778,11161802,16157662,19424157,20018887"
camptothecin                          ,    3 ,      1.13 ,       3 ,       12 ,"20015864,11452028,15452064"
tau                                   ,    5 ,      3.29 ,       5 ,       12 ,"15642345,30347620,23418567,24908109,24027268"
attenuate                             ,   11 ,      2.35 ,      12 ,       12 ,"18439902,34573275,24523552,33600051,21503958,28473402,32331968,33307066,26522729,26150413,33688012,32185676"
npro                                  ,    1 ,      0.0  ,       1 ,       12 ,24965446
metastatic                            ,    5 ,      3.0  ,       7 ,       12 ,"31938151,28381877,18754322,17567946,28179017,29176891,28391978"
sfrps                                 ,    1 ,      0.0  ,       7 ,       12 ,"10656762,19188438,9096311,16540541,10728394,34016745,19224982"
myocilin                              ,    0 ,      0.0  ,       1 ,       12 ,19188438
sod                                   ,    5 ,      3.25 ,       5 ,       12 ,"33726573,26360774,19995576,28391978,22834699"
mfrp                                  ,    1 ,      0.0  ,       1 ,       12 ,28002843
pediatric                             ,    3 ,      3.53 ,       6 ,       12 ,"32112990,31227780,32183175,31191748,22279524,33260872"
epitope                               ,    7 ,      2.19 ,      10 ,       12 ,"29547667,11514619,15557202,29439554,14562106,10430027,32817453,22059956,32295617,11677042"
catalytically                         ,    8 ,      1.83 ,      11 ,       12 ,"24733397,30733281,32906706,25240868,33007253,28781166,19188440,16107839,10684936,12714748,33592076"
antigenic                             ,    5 ,      2.21 ,       9 ,       12 ,"11514619,23842751,2369125,29702669,15378761,25141105,32817453,32295617,27228164"
nitric                                ,    9 ,      2.95 ,      10 ,       12 ,"20536739,35892672,29453425,29495482,28765283,32493433,31536826,28391163,29036266,20807727"
i-mfa                                 ,    1 ,      3.13 ,       2 ,       12 ,"17289077,12944466"
mir-29a-3p                            ,    1 ,      2.05 ,       1 ,       12 ,33600051
polysome                              ,    4 ,      1.1  ,       8 ,       12 ,"26744461,18065650,31701124,33547280,16914118,19338753,8307948,23716598"
datasets                              ,    9 ,      2.84 ,      11 ,       12 ,"35203426,31133884,30787051,20074381,32804944,19772651,19627569,26465331,22802721,33889951,27573699"
osmotic                               ,    6 ,      2.49 ,      10 ,       12 ,"33017189,14738879,20003521,9401119,32636874,16408210,20492553,31031728,33271965,29202712"
sant2                                 ,    1 ,      0.0  ,       2 ,       12 ,"16271702,14668352"
bri                                   ,    1 ,      2.86 ,       5 ,       12 ,"26515131,10391242,10526337,10781099,29476059"
idlx6-as1i                            ,    1 ,      0.0  ,       1 ,       12 ,32077747
excitation-contraction                ,    1 ,      2.89 ,      11 ,       12 ,"11535622,21339484,26063807,20095964,24001019,28393127,30409805,31506724,23749380,31337710,23148318"
gist                                  ,    1 ,      3.18 ,       1 ,       12 ,28768491
ndufs4sup                             ,    1 ,      0.0  ,       3 ,       12 ,"32918239,32070771,33752971"
tbeta4                                ,    1 ,      0.0  ,       2 ,       12 ,"16677835,24623079"
ccrcc                                 ,    1 ,      0.0  ,       2 ,       12 ,"35414502,32319572"
immunoreactivity                      ,    5 ,      1.74 ,       7 ,       12 ,"18452710,24704991,23306908,21562855,21871553,15003625,16189181"
ctcf                                  ,    1 ,      0.0  ,       2 ,       12 ,"29157910,24561205"
antifungal                            ,    3 ,      2.51 ,       9 ,       12 ,"34549988,32575356,18627462,9452424,15378761,12543933,33597172,32817453,26195524"
conidia                               ,    3 ,      2.14 ,       7 ,       12 ,"30005605,23450745,33597172,32817453,21825280,31031728,27098988"
erythrocyte                           ,    6 ,      2.1  ,       8 ,       12 ,"25482442,18760763,20087844,28193846,23796209,26496923,17329258,26689807"
exosome                               ,    3 ,      1.55 ,       3 ,       12 ,"32748085,35902094,14731398"
beta-propeller                        ,    1 ,      3.27 ,       5 ,       12 ,"10629049,10984507,12235138,14532282,19188440"
mll                                   ,    1 ,      1.91 ,       2 ,       12 ,"15199122,18838538"
cruzi                                 ,    1 ,      1.79 ,       2 ,       12 ,"28972996,10713147"
peroxidatic                           ,    1 ,      0.0  ,       5 ,       12 ,"21212070,21994946,20211754,18271751,20176891"
prx4                                  ,    1 ,      0.0  ,       3 ,       12 ,"21916849,32185676,27239855"
biprx1                                ,    0 ,      0.0  ,       1 ,       12 ,19932185
bitpx1                                ,    0 ,      0.0  ,       1 ,       12 ,19932185
tsa2                                  ,    1 ,      0.0  ,       3 ,       12 ,"15210711,31654781,11741925"
tif51b                                ,    1 ,      0.0  ,       4 ,       12 ,"1903841,16408210,8307948,8314769"
moz-tif2                              ,    1 ,      0.0  ,       3 ,       12 ,"12676584,15657427,9558366"
desmosomes                            ,    1 ,      1.24 ,       8 ,       11 ,"11063735,11841538,20940358,21062920,9887343,30935896,29959233,12826663"
dispensable                           ,    9 ,      2.19 ,      11 ,       11 ,"12802069,19890851,17178712,31793855,21636789,23806211,31021473,25204677,30113774,22046314,12676584"
postulate                             ,    9 ,      2.6  ,      11 ,       11 ,"12802069,22986828,32231671,29715315,31355153,15983050,35600141,11302706,16534748,29945054,21750984"
dental                                ,    4 ,      4.11 ,       6 ,       11 ,"20940358,35220830,27760456,29745813,32210829,24623079"
frameshift                            ,    8 ,      1.67 ,      10 ,       11 ,"21062920,34791963,15666299,9467018,28002843,30305605,1459448,32499479,26173930,23001565"
bagre-epf                             ,    1 ,      0.0  ,       2 ,       11 ,"29034528,30479852"
immunoblotting                        ,    8 ,      1.55 ,      10 ,       11 ,"29034528,3141400,31676851,11771749,31337710,31234227,16449382,2369125,9442054,28367977"
panel                                 ,    8 ,      4.55 ,       8 ,       11 ,"28350824,34791963,33850810,28768491,15557202,17555569,28666451,27573699"
mother                                ,    5 ,      5.24 ,       6 ,       11 ,"32331315,33072792,24167467,20100936,12031592,24616729"
post-translationally                  ,    4 ,      1.55 ,      11 ,       11 ,"32325910,16091362,16901746,35817801,15262146,2492279,14622290,16215987,3119589,8314769,34273022"
mortality                             ,    8 ,      3.9  ,      11 ,       11 ,"30259138,33679438,34306176,21339484,31982271,25479903,34071222,32196615,11336498,34029576,34130124"
intriguingly                          ,    8 ,      2.23 ,      11 ,       11 ,"27213757,8643671,23145006,21723936,31217244,25326457,28321488,31701124,25204677,25808059,24163315"
divide                                ,    9 ,      4.12 ,      11 ,       11 ,"29462933,29055040,26650439,24528242,31408947,23079573,27646125,11375989,33610896,23450745,21287625"
haplotype                             ,    3 ,      2.2  ,       7 ,       11 ,"28366030,1417830,25293953,26332462,15210948,22279524,20877624"
ovine                                 ,    5 ,      1.68 ,       5 ,       11 ,"32972993,27672209,11162633,24732964,33083141"
etiology                              ,    9 ,      2.61 ,      10 ,       11 ,"1928099,2018041,34791963,23382810,34324523,26702755,31080378,19731322,33260872,32420127"
vision                                ,    5 ,      4.63 ,       9 ,       11 ,"24417559,19956411,26985665,23867227,26391396,18502750,12226107,23418567,25907681"
sanger                                ,    7 ,      2.85 ,      10 ,       11 ,"20801516,25105228,25293953,34791963,25954033,27355534,34231238,28768491,22279524,19132089"
acceptor                              ,    3 ,      2.75 ,       7 ,       11 ,"12792025,18631365,17178712,12616398,10430027,31819004,7928952"
orthologs                             ,    6 ,      1.78 ,       9 ,       11 ,"12837548,21116826,18621711,25281006,25064856,20403389,21667333,17141802,35811673"
proband                               ,    6 ,      0.0  ,       8 ,       11 ,"28139165,25105228,34791963,28393127,10029606,10577279,8107717,33517344"
follicular                            ,    5 ,      2.51 ,       7 ,       11 ,"19754951,31173497,12815282,12960062,31486991,21509594,26305539"
mtor                                  ,    7 ,      2.16 ,       7 ,       11 ,"36014946,31646562,32331968,33349268,21394738,25929241,34238312"
adenosine                             ,    6 ,      2.68 ,      10 ,       11 ,"34311469,22577081,26074468,21164014,32494006,29146871,26823915,23008267,15105503,20649472"
caspase                               ,    6 ,      2.32 ,      10 ,       11 ,"34311469,35154294,20015864,11555662,16341127,18180367,21636789,20536739,12442332,32636874"
salinity                              ,    3 ,      2.96 ,       4 ,       11 ,"28877183,35158652,9401119,16284092"
macromolecular                        ,    6 ,      2.31 ,      11 ,       11 ,"12060739,12819782,18695251,9878398,19622630,15895553,31904168,21516107,18621711,18838538,25929241"
antimalarial                          ,    4 ,      2.12 ,       7 ,       11 ,"26074468,34001441,33648890,31295423,19740108,26689807,35811673"
moiety                                ,    5 ,      2.59 ,       9 ,       11 ,"26074468,26605136,17446867,28555368,14570900,19812042,18172504,34273022,11976098"
lysates                               ,    7 ,      1.77 ,      11 ,       11 ,"23116197,15505029,12558975,28468944,15699139,21503958,33888601,30305605,12183465,20403389,17163455"
pip                                   ,    3 ,      3.35 ,       3 ,       11 ,"19609968,26515131,22321011"
zswim5                                ,    1 ,      0.0  ,       1 ,       11 ,32144752
migrate                               ,    7 ,      3.43 ,      10 ,       11 ,"32144752,11906214,21086490,18158147,27335460,24503594,8449401,20890123,10487217,3095320"
